Title,Rating
1. The Grand Kandyan Hotel,"1,761 reviews"
2. Amaya Hills Kandy,"3,401 reviews"
3. Mahaweli Reach Hotel,"2,366 reviews"
4. Cinnamon Citadel Kandy,"4,199 reviews"
5. Earl's Regent Hotel,"1,611 reviews"
6. Theva Residency,"1,080 reviews"
7. Fox Kandy by Fox Resorts,222 reviews
8. Grand Serendib Hotel,90 reviews
9. Clove Villa,519 reviews
10. Hotel Thilanka,"1,952 reviews"
11. The Radh,285 reviews
12. Radisson Hotel Kandy,"2,519 reviews"
13. Elephant Stables,802 reviews
14. Sevana City Hotel,"1,025 reviews"
15. Aarunya Nature Resort & Spa,225 reviews
16. Skyloft Kandy By Aaradhya,200 reviews
17. Hotel Suisse,"1,620 reviews"
18. Queen's Hotel,"1,586 reviews"
19. Helga's Folly,749 reviews
20. The Richmond House Kandy,744 reviews
21. The Kandyan Villa,60 reviews
22. Romance Hills Hotel,65 reviews
23. Vista House,98 reviews
24. Greenacres Leisure Resort,17 reviews
25. Ceyloni City Hotel,133 reviews
26. Mount Blue Kandy,96 reviews
27. Kandy City Hotel,462 reviews
28. Kandy View Hotel,593 reviews
29. Kandy Waters,36 reviews
30. Kandy City Stay,149 reviews
