Title,Rating,Review,Category
1. Galle Fort,"<svg aria-labelledby="":lithium-Rln9lbana6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""16"" viewbox=""0 0 128 24"" width=""88""><title id="":lithium-Rln9lbana6kdalsnsla:"">4.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>","3,515","Things to do ranked using Tripadvisor data including reviews, ratings, photos, and popularity."
2. Bentota Beach,"<svg aria-labelledby="":lithium-Rardlbana6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""16"" viewbox=""0 0 128 24"" width=""88""><title id="":lithium-Rardlbana6kdalsnsla:"">3.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>","2,303",Historic Sites
3. Old Town of Galle and its Fortifications,"<svg aria-labelledby="":lithium-Rarhlbana6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""16"" viewbox=""0 0 128 24"" width=""88""><title id="":lithium-Rarhlbana6kdalsnsla:"">2.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>","3,510",Open now
4. Mirissa Beach,"<svg aria-labelledby="":lithium-R4j9god7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9god7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>","3,093",Explore the wonders of Sri Lanka with a knowledgeable and multilingual guide.
5. Sea Turtle Farm Galle Mahamodara,"<svg aria-labelledby="":lithium-R4j9h8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9h8d7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>","1,073",Beaches
6. Hikkaduwa Beach,"<svg aria-labelledby="":lithium-R4j9hod7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9hod7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>","2,382",Open now
7. Bundala National Park,"<svg aria-labelledby="":lithium-R4j9i8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9i8d7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",595,Soft sand.
8. Sinharaja Forest Reserve,"<svg aria-labelledby="":lithium-R4j9iod7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9iod7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",611,Historic Sites • Points of Interest & Landmarks
9. Kalametiya Lagoon Bird Sanctuary & Wetland Park,"<svg aria-labelledby="":lithium-R4j9j8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9j8d7a6kdalsnsla:"">4.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",372,Plenty of shops and restaurants contained within the walls.
10. Jungle Beach,"<svg aria-labelledby="":lithium-R4j9jod7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9jod7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>","2,822",Beaches
